Datetime,GB,AT,BE,DE,DK,ES,FI,FR,IE,IT,NIR,NL,NO,SE
2017-12-01,38.80774205577162,70.0744423230902,59.812749730931856,50.1068244324519,53.34741374440601,56.30012551211474,63.063790610829074,88.16802598939204,37.583877573435984,26.25624763140725,47.93077329920535,12.353039649878738,97.90851858215036,93.45650582156279
2018-01-01,42.893078994590574,70.49602044775784,65.3407747138228,49.85226780521007,43.34571665594639,62.333137689725845,60.84881058887998,93.15032667751638,49.893678314879914,27.905175784222756,56.18321729709006,12.967325363339919,98.02621244720288,93.07493060405798
2018-02-01,40.98506356858857,63.948090866363906,60.92198429655112,39.11848761408506,37.285907629195265,61.10090743735651,56.70605313934982,87.88435448663475,41.912664893086635,27.30535253859233,47.70509674741045,10.101742616928098,98.03299610985262,92.76993709380933
2018-03-01,40.5842760009547,67.61237658012634,63.54334214869812,44.39515989959249,37.501059378735704,77.04457960540647,54.47259758839276,89.68231893253437,37.462592550650974,33.86002953988767,47.41556981837663,11.549634425079656,97.78508823597036,93.17169065613344
2018-04-01,45.592434186169434,88.50888304296475,64.77504203692831,51.15564374643024,48.419574058526464,73.77853997371125,65.00042537753478,95.77272086417688,38.61376746424091,43.189559346047076,46.13048033505488,12.328812808756629,96.53481220455407,94.72297846947428
2018-05-01,47.17367608923706,92.12943636762529,62.76801555219074,50.87406088956037,55.487304371721265,63.417525230965474,74.61592577697755,96.7633961582816,28.685565431603997,46.214829543202946,41.76964372115171,8.116670603597946,95.4392414655535,96.87013887541944
2018-06-01,47.0445769106207,90.34749203083103,56.49964687121505,46.954452611339335,72.60749747125487,60.92450445880314,73.11800220304244,96.20494434679668,19.453659692865692,45.895941247551114,33.20039257115352,8.949284057430786,95.83011100900765,97.09589828655358
2018-07-01,44.01096678758103,87.41879553043532,54.63237472753069,43.13274559142237,58.26114644322762,57.93442376639466,67.07203904841597,92.35275100156493,19.031872792730173,37.17761918014805,33.17950292608916,7.977609884389546,95.61994294650228,97.2429625369983
2018-08-01,48.90873714629934,82.92243061573508,50.69968618114527,45.27333411870325,63.08108000108127,57.05173542857121,67.9578286958146,92.11079293666037,29.96070812078252,34.052276416207484,43.663977402942066,5.400930130519075,97.01751563877522,97.4192753959423
2018-09-01,53.000097812190695,78.6309658323331,47.82119991367528,46.18961686946988,69.92959858908056,53.91582109138481,66.71455183609062,93.2592333255782,35.777700388095326,29.68354017892857,55.25546407475862,9.2220615183355,97.36377019923196,96.04377701023427
2018-10-01,44.48720925467512,70.92313383047912,34.895005749422275,45.34093074901296,59.1934979303672,57.81280524824641,65.05404303167207,90.13950549207863,43.179182831234755,28.363406218003455,55.870693267154415,11.360813520254716,97.3703898106067,94.74172505575972
2018-11-01,43.01071425817158,63.62127967282986,33.98214778945627,41.15800245806459,45.80505071255447,52.987178062351646,62.56167123903098,87.35399928348193,53.707067937594964,31.729818002954868,60.97397464796978,12.480198541612518,97.6173391727591,93.3198608623439
2018-12-01,42.73316412908707,61.610407796559294,45.878589236820496,49.92660346920557,46.81220632623972,57.838769708802886,56.90719673522842,91.1027364340417,56.55027781909444,31.24180951545571,56.84461732571775,13.701261180887006,97.19476601624912,91.64324535775926
2019-01-01,37.748449820792565,64.43069165789223,50.61315117911446,46.626446761159066,45.313378397770705,60.100941929496734,53.47085391542714,88.0726273598997,41.18989079581263,26.68551529175177,46.99526857590129,17.169298800424656,97.49923910248744,91.16181603349588
2019-02-01,43.51592190004321,64.402716746214,56.68840583718547,46.379829900599354,49.03709545893341,61.769868614822265,59.17150698853161,89.59483029765819,57.28988992619326,32.839403875849335,63.77520013687084,15.473920983541307,98.01199984413793,92.28309782347243
