Datetime,GB,BE,NO,FR,NL,DK,IE,DE,NIR
2024-01-01,153.6850276438329,218.1386395024331,11.277151350954737,44.58031379504876,339.8982517357193,111.75469177592697,118.22122023640188,201.1968478752465,222.6542773
2024-02-01,158.25363980414005,240.22579730447953,11.277151759595958,55.562389407313155,339.8955338578109,110.83785827372026,106.45710714907119,209.0960624332726,222.6542773
2024-03-01,158.720318703781,182.96879326130855,11.277131581028149,39.61695231434533,339.8958038617477,113.60249540798944,131.6967876816353,180.8956456296851,222.6542773
2024-04-01,145.77194679636767,138.18878036079482,11.277152760412143,21.113116125741687,339.8923025582886,107.5191981317122,142.90601754492172,184.88044601472106,222.6542773
2024-05-01,143.68409177232934,112.63469871331348,11.27715718618101,17.328917082996924,339.89172801471943,56.57447791585908,165.97865331393595,182.60431800432798,222.6542773
2024-06-01,143.13073680757418,128.75974623046935,11.27715812165066,19.7038818857889,339.89194518674776,38.85852476368541,164.21646859209108,176.45116116798508,222.6542773
2024-07-01,142.0333956478996,167.5898135554166,11.277161040891064,35.83190837510539,339.89180947885507,57.136947489712846,167.18068083276523,190.95995449526862,222.6542773
2024-08-01,125.16790363442102,166.13450099782744,11.277161675255904,32.12014682489818,339.8921444526467,52.786629859975996,131.19835369079198,186.430668937023,222.6542773
2024-09-01,124.18575429514289,189.5590181061869,11.277164198191924,33.97438769266968,339.89209501078074,40.83375523410342,118.60164079534604,188.24345501612115,222.6542773
2024-10-01,125.41953956574618,267.1395149669506,11.277161050431168,61.20594678025346,339.891337670319,56.25656680970033,99.3471552727807,180.99693418206544,222.6542773
2024-11-01,139.58242002142973,299.54547240384227,11.277162581495961,73.07496561846443,339.89096498049236,61.791185202933825,100.44033332378825,196.72969057218836,222.6542773
2024-12-01,136.5898240863629,247.59377683066066,11.277163723920493,47.2194384979935,339.89125062317,94.8805942604733,76.88471644077558,171.48021129465553,222.6542773
2025-01-01,138.15839387343297,222.4500035496548,11.277162849715667,47.06985571566073,339.89174723296395,99.77137020251772,81.83128712177258,179.76197734563613,222.6542773
2025-02-01,143.44446261832977,238.37193065919212,11.277162819432577,53.84085850830052,339.8920167442855,94.6295372727658,70.94159760320666,186.8194708816357,222.6542773
2025-03-01,144.63300277687333,180.72058501818907,11.277164314801496,37.83001261726438,339.8919899699387,90.18469752261761,94.39634295279389,161.62333547235409,222.6542773
2025-04-01,132.4180688526821,138.58602496656422,11.277162745265302,21.773956821676503,339.8923371708136,88.79399545288935,104.90916312556509,165.18349493766922,222.6542773
2025-05-01,130.33031822582893,114.10796303183545,11.277162417285771,18.167446367750372,339.8923941448367,47.71156242697483,126.68763904805678,163.14976924347772,222.6542773
2025-06-01,129.68430841235667,129.67493511083774,11.277162347961116,20.103135765083035,339.89237260918287,29.3221977020682,125.01856413259497,157.65208586058972,222.6542773
2025-07-01,128.40737584885676,165.15737289614123,11.277162131625577,35.61426002634857,339.8923860665228,40.289760108701365,127.82664595271271,170.61504095705598,222.6542773
2025-08-01,112.97539498126152,161.46163361773887,11.277162084614833,31.274620666540038,339.8923528491866,48.97032161964553,93.93007739420709,166.56824304136822,222.6542773
2025-09-01,111.85081577001864,183.43298566413932,11.27716189764814,34.574265834553145,339.89235775203684,35.75125128702884,82.18475964781497,168.18783748691527,222.6542773
2025-10-01,112.96296427331934,262.54807921756725,11.27716213091859,63.1572447502256,339.8924328529988,49.15238821041559,64.4036035260502,161.71332023516425,222.6542773
2025-11-01,125.76546671055699,296.6322358616647,11.277162017456291,75.09872709825305,339.89246981050616,52.652664684726474,65.4064591198417,175.7698469969983,222.6542773
2025-12-01,123.14633520789482,246.1885552636671,11.277161932794874,48.49236950379706,339.8924414849603,77.15631653249703,44.03594263761142,153.21044686420643,222.6542773
